CNTYVTD,VTDKEY,BellD_20P_U.S. Sen,CooperD_20P_U.S. Sen,EdwardsD_20P_U.S. Sen,FosterD_20P_U.S. Sen,GarciaD_20P_U.S. Sen,HarrisD_20P_U.S. Sen,HegarD_20P_U.S. Sen,HernandezD_20P_U.S. Sen,HunterD_20P_U.S. Sen,OceguedaD_20P_U.S. Sen,RamirezD_20P_U.S. Sen,WestD_20P_U.S. Sen
4790308,9342,23,16,12,6,50,12,14,12,5,5,52,6
4790309,9343,62,67,61,25,168,41,45,75,11,20,187,12
4790310,9344,10,9,12,5,25,9,3,10,1,0,21,5
4790311,9345,25,42,30,13,99,24,13,32,6,8,88,8
4790312,9346,24,20,20,3,62,13,9,16,3,1,45,7
4790340,9347,56,45,32,26,121,37,38,60,9,13,138,28
4790341,9348,33,25,31,15,80,16,31,28,2,10,72,21
4790342,9349,42,41,44,14,105,32,18,46,6,8,100,15
4790343,9350,53,50,55,13,142,21,32,62,19,15,189,18
4790344,9351,63,64,68,34,184,36,49,84,15,28,209,34
4790345,9352,35,25,48,11,98,19,22,47,5,14,113,9
4790349,9353,44,38,31,15,114,29,30,40,4,25,114,15
4790356,9354,63,60,76,23,211,46,41,94,6,28,169,19
4790359,9355,52,72,53,21,166,39,34,90,6,23,168,19
4790361,9356,35,33,23,10,78,19,14,31,6,13,73,6
4790363,9357,13,20,10,5,46,16,6,20,3,8,26,4
4790370,9358,21,32,23,6,85,13,16,30,4,6,81,9
4790371,9359,45,46,48,23,120,26,32,56,6,14,134,22
4790401,9360,29,30,18,10,70,14,5,28,9,11,56,3
4790402,9361,28,25,22,8,64,20,10,28,8,6,64,9
4790403,9362,20,20,10,9,41,11,3,18,2,5,46,4
4790404,9363,18,32,19,11,102,20,5,35,1,9,70,4
4790405,9364,34,25,18,7,66,28,6,39,6,7,63,5
4790406,9365,15,19,16,8,57,14,5,20,4,9,32,6
4790407,9366,9,12,6,2,9,10,0,5,2,2,17,2
4790413,9367,39,28,31,9,83,23,17,37,2,10,75,7
