CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
292165,581,2919,2180,1068,0.377329974811083
292166,582,1722,1307,743,0.436698717948718
292167,583,68,30,34,0.533333333333333
292168,584,1715,1159,629,0.36873920552677
292169,585,1558,1118,712,0.462162162162162
292170,586,3780,2726,1288,0.361194029850746
292171,587,1651,1116,658,0.398517145505097
292172,588,414,273,233,0.601449275362319
292173,589,1581,982,661,0.408759124087591
292174,590,2565,1868,913,0.362894450489663
292175,591,1955,1183,584,0.310169491525424
292176,592,1358,991,511,0.389795918367347
292177,593,1,0,0,0.0
292178,594,1091,774,716,0.605981794538362
292179,595,156,114,57,0.442477876106195
292180,596,3104,2091,1598,0.501447876447876
292180,597,62,42,32,0.5
292181,598,641,508,244,0.385767790262172
292181,599,148,116,58,0.382113821138211
292181,600,125,98,56,0.388349514563107
292181,601,248,195,94,0.380487804878049
292181,602,64,50,29,0.377358490566038
292181,603,63,50,19,0.365384615384615
292181,604,19,14,10,0.333333333333333
292182,605,113,89,18,0.393617021276596
292182,606,163,129,44,0.392592592592593
292182,607,413,327,174,0.38953488372093
293001,608,3760,2680,838,0.226626776364996
293002,609,2391,1929,687,0.287506534239415
293003,610,1526,1153,613,0.390393013100437
293004,611,0,0,0,0.0
293005,612,3080,2510,608,0.1996138996139
293006,613,1098,883,355,0.320861678004535
293007,614,3304,2391,824,0.259603208104686
293008,615,100,81,11,0.123456790123457
293009,616,15,12,1,0.1
293010,617,702,424,263,0.350490196078431
293011,618,975,819,271,0.286240786240786
293012,619,1224,1025,252,0.208646616541353
293013,620,1908,1394,737,0.385003604902668
293014,621,568,394,219,0.376923076923077
293015,622,1765,1210,861,0.486599664991625
293016,623,0,0,0,0.0
293017,624,2601,2138,334,0.129314312011045
293018,625,1830,1522,233,0.117804551539491
293019,626,0,0,0,0.0
293020,627,2639,2119,335,0.128693994280267
293021,628,2363,2049,124,0.0515463917525773
293022,629,1631,1346,242,0.14381520119225
293023,630,68,57,7,0.120689655172414
293024,631,0,0,0,0.0
293025,632,1760,1404,167,0.0922535211267606
293026,633,1492,1266,116,0.0696557245796637
293027,634,1530,1221,325,0.204301075268817
293028,635,2170,1508,756,0.329815303430079
293029,636,1286,966,443,0.345872518286311
293030,637,2235,1845,335,0.148047722342733
293031,638,25,18,11,0.470588235294118
293032,639,24,19,6,0.263157894736842
293033,640,2209,1694,408,0.172985781990521
293034,641,2628,2152,173,0.063809967396367
293035,642,856,633,268,0.319286871961102
293036,643,4419,2953,1543,0.358163265306122
293037,644,94,69,13,0.231884057971014
