CNTYVTD,VTDKEY,AllredD_20G_U.S. Rep 32,CollinsR_20G_U.S. Rep 32,Mowrey PetersonL_20G_U.S. Rep 32,SigmonI_20G_U.S. Rep 32,AllredD_20G_U.S. Rep 32_Percentage,CollinsR_20G_U.S. Rep 32_Percentage,Mowrey PetersonL_20G_U.S. Rep 32_Percentage,SigmonI_20G_U.S. Rep 32_Percentage
1133964,2661,772,742,22,17,0.4971023824855119,0.47778493238892467,0.014166130070830651,0.010946555054732776
1133965,2662,1211,1168,41,29,0.4944875459371172,0.476929358922009,0.016741527153940384,0.011841567986933442
1133966,2663,1309,1214,43,27,0.5048206710374084,0.4681835711531045,0.016583108368684922,0.01041264944080216
1133967,2664,459,516,9,13,0.46038114343029085,0.5175526579739218,0.009027081243731194,0.013039117352056168
1133968,2665,1263,1365,49,23,0.4677777777777778,0.5055555555555555,0.01814814814814815,0.008518518518518519
1133969,2666,805,1419,21,7,0.3574600355239787,0.6301065719360568,0.009325044404973356,0.003108348134991119
1133970,2667,1025,1544,33,11,0.3922694221201684,0.5908916953693073,0.012629161882893225,0.004209720627631076
1133971,2668,946,1013,42,19,0.46831683168316834,0.5014851485148515,0.020792079207920793,0.009405940594059406
1133980,2669,1101,1444,46,21,0.42151607963246557,0.552833078101072,0.01761102603369066,0.008039816232771823
1133981,2670,412,784,18,12,0.3360522022838499,0.6394779771615008,0.01468189233278956,0.009787928221859706
1133982,2671,1003,1462,43,20,0.39675632911392406,0.5783227848101266,0.017009493670886076,0.007911392405063292
1133983,2672,607,881,26,13,0.3975114603798297,0.5769482645710543,0.017026850032743943,0.008513425016371971
1133984,2673,430,561,18,9,0.4223968565815324,0.5510805500982319,0.01768172888015717,0.008840864440078585
1134014,2688,710,868,10,3,0.4462602137020742,0.5455688246385921,0.006285355122564425,0.0018856065367693275
1134018,2692,510,324,13,4,0.599294947121034,0.3807285546415981,0.01527614571092832,0.004700352526439483
1134020,2694,489,171,14,11,0.7138686131386861,0.24963503649635035,0.020437956204379562,0.016058394160583942
1134021,2695,1394,300,40,15,0.7970268724985706,0.17152658662092624,0.022870211549456832,0.008576329331046312
1134100,2770,13,3,0,1,0.7647058823529411,0.17647058823529413,0.0,0.058823529411764705
1134126,2788,574,737,13,6,0.43157894736842106,0.5541353383458647,0.009774436090225564,0.004511278195488722
1134127,2789,144,280,1,0,0.3388235294117647,0.6588235294117647,0.002352941176470588,0.0
1134128,2790,460,656,8,2,0.40852575488454707,0.5825932504440497,0.007104795737122558,0.0017761989342806395
1134129,2791,517,965,8,2,0.346514745308311,0.6467828418230563,0.005361930294906166,0.0013404825737265416
1134131,2793,1006,217,29,13,0.7952569169960474,0.1715415019762846,0.02292490118577075,0.010276679841897233
